dataset	sample	effect_id	block_size	high_source_spots	neighbor_spots	background_spots	neighbor_mean	background_mean	observed_delta	observed_ratio	block_null_delta_mean	block_null_ratio_mean	block_empirical_p_delta_ge_observed	survives_block_delta_p_0_05	source_variant	target_family	target_variant
GSE217414	19G0619	hla_drb5_no_cd74_ptprc_to_pyruvate_mito_entry_minus_MPC1	12	153	687	2539	0.15873721099632684	0.1589255290154507	-0.00018831801912386203	0.9988150549487518	0.0005833226946745359	1.0042119645362089	0.5742574257425742	0	hla_drb5_no_cd74_ptprc	pyruvate_mito_entry	pyruvate_mito_entry_minus_MPC1
GSE217414	19G0619	hla_drb5_no_cd74_ptprc_to_pyruvate_mito_entry_minus_MPC2	12	153	687	2539	0.10220262637297528	0.11652697599994982	-0.014324349626974542	0.8770726734813687	-0.0006302572130133243	0.9950461923588508	1.0	0	hla_drb5_no_cd74_ptprc	pyruvate_mito_entry	pyruvate_mito_entry_minus_MPC2
GSE217414	19G0619	hla_drb5_no_cd74_ptprc_to_pyruvate_mito_entry_minus_PDHA1	12	153	687	2539	0.17673340200877044	0.17397323833632272	0.0027601636724477185	1.01586544976022	0.0057494689936259755	1.0335116184024595	0.5841584158415841	0	hla_drb5_no_cd74_ptprc	pyruvate_mito_entry	pyruvate_mito_entry_minus_PDHA1
GSE217414	19G0619	hla_drb5_no_cd74_ptprc_to_pyruvate_mito_entry_minus_PDHB	12	153	687	2539	0.12481329820270491	0.11695193086519806	0.00786136733750685	1.0672187904838277	0.007944049705610719	1.0677972265580076	0.5148514851485149	0	hla_drb5_no_cd74_ptprc	pyruvate_mito_entry	pyruvate_mito_entry_minus_PDHB
GSE217414	19G0619	hla_drb5_no_cd74_ptprc_to_glutamate_transamination	12	153	687	2539	0.09037956850024566	0.07728029088256226	0.013099277617683397	1.1695034719471942	0.012942946659903304	1.1672030074927469	0.45544554455445546	0	hla_drb5_no_cd74_ptprc	glutamate_transamination	glutamate_transamination
GSE217414	19G0619	hla_drb5_no_cd74_ptprc_to_glutamate_transamination_minus_GOT1	12	153	687	2539	0.07138306009492634	0.0640489758073125	0.00733408428761384	1.1145074405198607	0.008440055431128322	1.1317168472882526	0.5841584158415841	0	hla_drb5_no_cd74_ptprc	glutamate_transamination	glutamate_transamination_minus_GOT1
GSE217414	19G0619	hla_drb5_no_cd74_ptprc_to_glutamate_transamination_minus_GOT2	12	153	687	2539	0.08124449230625706	0.07007920982339624	0.01116528248286082	1.1593237496683824	0.011309111468799515	1.1617736172398268	0.49504950495049505	0	hla_drb5_no_cd74_ptprc	glutamate_transamination	glutamate_transamination_minus_GOT2
GSE217414	19G0619	hla_drb5_no_cd74_ptprc_to_glutamate_transamination_minus_GLUD1	12	153	687	2539	0.09127189011698147	0.07638928597454878	0.014882604142432698	1.194825805118682	0.01396864040734474	1.1836347084229033	0.46534653465346537	0	hla_drb5_no_cd74_ptprc	glutamate_transamination	glutamate_transamination_minus_GLUD1
GSE217414	19G0619	hla_drb5_no_cd74_ptprc_to_glutamate_transamination_minus_GLS	12	153	687	2539	0.11761883148281772	0.09860369192499152	0.019015139557826202	1.1928440932241273	0.01764904616849072	1.1783923057329964	0.40594059405940597	0	hla_drb5_no_cd74_ptprc	glutamate_transamination	glutamate_transamination_minus_GLS
GSE217414	19G0619	hla_drb5_only_to_pyruvate_mito_entry	12	0	0	3379	nan	0.14208083709505184	nan	nan	nan	nan	nan		hla_drb5_only	pyruvate_mito_entry	pyruvate_mito_entry
