cohort	sample_key	sample	sample_type	technology	n_spots	reaction	description	metric	mean	median	q25	q75	pct_negative	pct_positive	pct_zero
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	AKGDm	alpha_ketoglutarate_dehydrogenase	meanNormalized	0.041436383309565825	0.037560184477	0.021246589857000002	0.0621828940295	0.0	1.0	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	AKGDm	alpha_ketoglutarate_dehydrogenase	meanFlux	41.43638330956581	37.560184477	21.246589857	62.1828940295	0.0	1.0	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	AKGMALtm	akg_malate_transport	meanNormalized	0.11284868240228546	0.082757329353	0.037832588611500004	0.184113481376	0.023569528234721027	0.976430471765279	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	AKGMALtm	akg_malate_transport	meanFlux	112.84868240228546	82.757329353	37.8325886115	184.11348137599998	0.023569528234721027	0.976430471765279	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	MDHm	malate_dehydrogenase_mitochondrial	meanNormalized	0.05663383010602124	0.044682124429000006	0.0263679530025	0.08063975283399999	0.022932513958106943	0.9770674860418931	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	MDHm	malate_dehydrogenase_mitochondrial	meanFlux	56.63383010602125	44.682124429	26.367953002500002	80.639752834	0.022932513958106943	0.9770674860418931	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	MDH	malate_dehydrogenase_cytosol	meanNormalized	-0.022855144809576684	-0.014924936399000001	-0.0386057796175	-0.0023790830340000005	0.8051485742121632	0.19485142578783676	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	MDH	malate_dehydrogenase_cytosol	meanFlux	-22.855144809576682	-14.924936399000002	-38.605779617500005	-2.3790830339999993	0.8051485742121632	0.19485142578783676	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	CSm	citrate_synthase_mitochondrial	meanNormalized	0.0314565090759692	0.017859929565	0.009626417954500002	0.0503812498175	0.0	0.9998501142878555	0.00014988571214448983
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	CSm	citrate_synthase_mitochondrial	meanFlux	31.456509075969198	17.859929564999998	9.626417954499999	50.3812498175	0.0	0.9998501142878555	0.00014988571214448983
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	Biomass	biomass_synthesis	meanNormalized	0.0022419648693942236	0.0015510792537955372	0.0007769053390306666	0.0031676329143641557	0.0	0.9992880428673137	0.0007119571326863267
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	Biomass	biomass_synthesis	meanFlux	0.28992861010589427	0.200583987	0.10046860600000002	0.40963505749999995	0.0	0.9992880428673137	0.0007119571326863267
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	ATPS4mi	atp_synthase	meanNormalized	0.09737410226260387	0.07818703327200001	0.036492443167999995	0.1454173036885	0.0	0.9979390714580133	0.002060928541986735
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	ATPS4mi	atp_synthase	meanFlux	97.37410226260388	78.18703327199998	36.492443167999994	145.4173036885	0.0	0.9979390714580133	0.002060928541986735
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	lac_glc_mean	precomputed_ratio_from_spfba	obs	-56.97636091375383	-27.80447263619967	-56.943999148908745	-13.289889271031026	1.0	0.0	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	o2_glc_mean	precomputed_ratio_from_spfba	obs	189.1270551739406	92.36558956206379	50.819428053471555	171.32372419099403	0.0	1.0	0.0
CRC_VisiumHD	CRC_P1	P1	crc_visiumhd	VisiumHD	26687	o2_lac_mean	precomputed_ratio_from_spfba	obs	-10.217457783654725	-5.605342824613081	-7.81815791457559	-4.214484509868749	1.0	0.0	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	EX_lac__L_e	lactate_exchange_negative_is_uptake	meanNormalized	-0.016434853613209555	-0.009407667960000001	-0.045531871662749995	0.0247076784985	0.5717514483988031	0.4282485516011969	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	EX_lac__L_e	lactate_exchange_negative_is_uptake	meanFlux	-16.434853613209555	-9.407667960000001	-45.53187166275	24.707678498499998	0.5717514483988031	0.4282485516011969	0.0
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	EX_glc__D_e	glucose_exchange_negative_is_uptake	meanNormalized	-0.002128402781775076	-0.0009930089354818939	-0.003948113042848127	0.0017763439319694965	0.6063538549691221	0.3934869803272426	0.00015916470363532182
CRC_VisiumHD	CRC_P2	P2	crc_visiumhd	VisiumHD	31414	EX_glc__D_e	glucose_exchange_negative_is_uptake	meanFlux	-1.0850431007437449	-0.2585146199999998	-2.9868741087500004	2.710347960000001	0.531673776023429	0.4681670592729356	0.00015916470363532182
