dataset	sample	effect_id	source	target	high_source_spots	neighbor_spots	background_spots	neighbor_mean	background_mean	observed_delta	observed_ratio	block_null_delta_mean	block_null_ratio_mean	block_empirical_p_delta_ge_observed	survives_block_delta_p_0_05
GSE217414	19G081	lactate_import_anabolic_to_myc_glycolysis	score_lactate_import_anabolic_proxy	score_myc_glycolysis_desoverlap_2026	796	913	1178	0.5745343135747197	0.3247214195878332	0.24981289398688655	1.7693144921082584	0.2617828256977124	1.6662018602226933	0.8323353293413174	0
GSE217414	19G081	lactate_export_glycolytic_to_myc_glycolysis	score_lactate_export_glycolytic_proxy	score_myc_glycolysis_desoverlap_2026	758	852	1277	0.5448020410134001	0.3142696318908955	0.2305324091225046	1.7335497475064283	0.28654321500517893	1.7149795184777703	1.0	0
GSE217414	19G081	cxcl12_fn1_cd44_to_pyruvate_mito_entry	score_spp1_cxcl12_axis_desoverlap_2026	score_pyruvate_mito_entry_proxy	724	679	1484	0.377506965364152	0.17932708571219438	0.19817987965195763	2.105130766302757	0.1953145252898408	1.8496132566128403	0.40119760479041916	0
GSE217414	19G081	hla_drb5_to_pyruvate_mito_entry	score_hla_drb5_macrophage_axis_desoverlap_2026	score_pyruvate_mito_entry_proxy	1276	1472	139	0.3294583491490778	0.20132676683505685	0.12813158231402094	1.6364359013374346	0.09158694325658465	1.382526739643417	0.023952095808383235	1
GSE217414	19G081	cxcl12_fn1_cd44_to_glutamate_transamination	score_spp1_cxcl12_axis_desoverlap_2026	score_glutamate_transamination_proxy	724	679	1484	0.11471464295927124	0.044716442922287464	0.06999820003698377	2.5653794323182946	0.07552973819278948	2.156650674749781	0.7904191616766467	0
GSE217414	19G081	hla_drb5_to_glutamate_transamination	score_hla_drb5_macrophage_axis_desoverlap_2026	score_glutamate_transamination_proxy	1276	1472	139	0.10339010087820491	0.04685595465616212	0.05653414622204279	2.206552008958116	0.036172906682450684	1.538543118188133	0.033932135728542916	1
GSE225857	L1	cxcl12_fn1_cd44_to_lactate_import_anabolic	score_spp1_cxcl12_axis_desoverlap_2026	score_lactate_import_anabolic_proxy	1171	1197	2304	0.47657959931648486	0.2514059577757401	0.22517364154074476	1.895657539435103	0.17909802192096383	1.5886951445627837	0.001996007984031936	1
GSE225857	L1	hla_drb5_to_lactate_import_anabolic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_lactate_import_anabolic_proxy	1185	1087	2400	0.47826076823911073	0.31511586974336375	0.16314489849574698	1.5177298706936444	0.1308217783496618	1.3798579431744	0.001996007984031936	1
GSE225857	L1	cxcl12_fn1_cd44_to_lactate_export_glycolytic	score_spp1_cxcl12_axis_desoverlap_2026	score_lactate_export_glycolytic_proxy	1171	1197	2304	0.6987464668040017	0.43444762028587447	0.2642988465181272	1.608356069125695	0.19824567704000065	1.4020990889308773	0.001996007984031936	1
GSE225857	L1	hla_drb5_to_lactate_export_glycolytic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_lactate_export_glycolytic_proxy	1185	1087	2400	0.6915193602383736	0.5289285767685752	0.16259078346979838	1.3073964815119785	0.1142154888940312	1.203829723999198	0.001996007984031936	1
GSE225857	L1	lactate_import_anabolic_to_myc_glycolysis	score_lactate_import_anabolic_proxy	score_myc_glycolysis_desoverlap_2026	1237	1106	2329	0.9902614881630671	0.6372989284140916	0.3529625597489755	1.553841445532189	0.3568392955662704	1.4957027081393948	0.624750499001996	0
GSE225857	L1	lactate_export_glycolytic_to_myc_glycolysis	score_lactate_export_glycolytic_proxy	score_myc_glycolysis_desoverlap_2026	1189	656	2827	0.9788592902780974	0.6159828041930894	0.362876486085008	1.5891016496156258	0.5371983281488646	1.8054602010332428	1.0	0
GSE225857	L1	cxcl12_fn1_cd44_to_pyruvate_mito_entry	score_spp1_cxcl12_axis_desoverlap_2026	score_pyruvate_mito_entry_proxy	1171	1197	2304	0.5173656777570103	0.2621951904027877	0.25517048735422254	1.9732081162977333	0.20299917650969324	1.6291890403959572	0.001996007984031936	1
GSE225857	L1	hla_drb5_to_pyruvate_mito_entry	score_hla_drb5_macrophage_axis_desoverlap_2026	score_pyruvate_mito_entry_proxy	1185	1087	2400	0.5208084697054576	0.3276195101373025	0.19318895956815507	1.589674770855958	0.15684385894037367	1.4329422150578701	0.001996007984031936	1
GSE225857	L1	cxcl12_fn1_cd44_to_glutamate_transamination	score_spp1_cxcl12_axis_desoverlap_2026	score_glutamate_transamination_proxy	1171	1197	2304	0.36081139502330667	0.18619233482251624	0.17461906020079043	1.9378423680397059	0.1427422993940314	1.6303735733048066	0.001996007984031936	1
GSE225857	L1	hla_drb5_to_glutamate_transamination	score_hla_drb5_macrophage_axis_desoverlap_2026	score_glutamate_transamination_proxy	1185	1087	2400	0.36645626251289637	0.22839138101230078	0.1380648815005956	1.6045100339979976	0.11136741623416072	1.4397803127666298	0.001996007984031936	1
GSE225857	L2	cxcl12_fn1_cd44_to_lactate_import_anabolic	score_spp1_cxcl12_axis_desoverlap_2026	score_lactate_import_anabolic_proxy	1505	1846	1445	0.14960292510833392	0.08776381429669067	0.061839110811643255	1.704608286538146	0.05724084379756938	1.5615637436958274	0.08183632734530938	0
GSE225857	L2	hla_drb5_to_lactate_import_anabolic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_lactate_import_anabolic_proxy	1486	2343	967	0.15781520513822675	0.14295548250627746	0.01485972263194929	1.1039465039845309	0.00924023751939499	1.0615135254506718	0.09780439121756487	0
GSE225857	L2	cxcl12_fn1_cd44_to_lactate_export_glycolytic	score_spp1_cxcl12_axis_desoverlap_2026	score_lactate_export_glycolytic_proxy	1505	1846	1445	0.21121500365739193	0.1166862659843156	0.09452873767307633	1.8101102291316995	0.08605132201276966	1.6410165370119778	0.029940119760479042	1
GSE225857	L2	hla_drb5_to_lactate_export_glycolytic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_lactate_export_glycolytic_proxy	1486	2343	967	0.2217041662596694	0.2028272662074491	0.018876900052220313	1.0930688482135005	0.009140136057031066	1.0425485398931027	0.043912175648702596	1
GSE225857	L2	lactate_import_anabolic_to_myc_glycolysis	score_lactate_import_anabolic_proxy	score_myc_glycolysis_desoverlap_2026	1247	1816	1733	0.4198400652935839	0.212588677406779	0.20725138788680492	1.9748938203808408	0.20291931233501984	1.8553564017110893	0.24550898203592814	0
GSE225857	L2	lactate_export_glycolytic_to_myc_glycolysis	score_lactate_export_glycolytic_proxy	score_myc_glycolysis_desoverlap_2026	1362	1566	1868	0.3600264340820588	0.18762393087010876	0.17240250321195005	1.9188726747831735	0.22932544424285808	2.053309938162018	1.0	0
GSE225857	L2	cxcl12_fn1_cd44_to_pyruvate_mito_entry	score_spp1_cxcl12_axis_desoverlap_2026	score_pyruvate_mito_entry_proxy	1505	1846	1445	0.14063631955779354	0.0831762196139316	0.05746009994386195	1.6908236538107542	0.05068206256430065	1.5256971897995277	0.06786427145708583	0
GSE225857	L2	hla_drb5_to_pyruvate_mito_entry	score_hla_drb5_macrophage_axis_desoverlap_2026	score_pyruvate_mito_entry_proxy	1486	2343	967	0.14382444012490297	0.1226251338587613	0.02119930626614168	1.172878965339674	0.014817534704231937	1.111661375277032	0.11377245508982035	0
GSE225857	L2	cxcl12_fn1_cd44_to_glutamate_transamination	score_spp1_cxcl12_axis_desoverlap_2026	score_glutamate_transamination_proxy	1505	1846	1445	0.10914828776936096	0.06136071743279896	0.047787570336562	1.778797451136356	0.04344116817475854	1.621201153285342	0.1157684630738523	0
GSE225857	L2	hla_drb5_to_glutamate_transamination	score_hla_drb5_macrophage_axis_desoverlap_2026	score_glutamate_transamination_proxy	1486	2343	967	0.11580365448090438	0.09509127587766397	0.020712378603240406	1.2178157608263362	0.01136232747694309	1.110050241211333	0.023952095808383235	1
