dataset	sample_id	sample	tissue	effect_id	claim_layer	source	target	neighbor_background_ratio	empirical_p_ge_observed	z_score	positive_ratio	p_le_0_05	high_source_spots	neighbor_spots	background_spots
GSE217414	GSM6716963_19G081	19G081	CRLM	spp1_cxcl12_lite_to_myc_glycolysis_lite	stromal/myeloid-to-tumor-metabolic	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	1.9454921241376393	0.001996007984031936	28.100682471156908	1	1	724	679	1484
GSE217414	GSM6716963_19G081	19G081	CRLM	hla_drb5_lite_to_myc	myeloid-to-MYC	score_hla_drb5_macrophage_axis_desoverlap_2026	MYC	1.5345552867373693	0.001996007984031936	7.0695094697540695	1	1	1276	1472	139
GSE217414	GSM6716963_19G081	19G081	CRLM	hla_drb5_lite_to_myc_glycolysis_lite	myeloid-to-tumor-metabolic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	1.4337241517076924	0.001996007984031936	6.293459209221218	1	1	1276	1472	139
GSE217414	GSM6716964_19G0619	19G0619	CRLM	caf_to_met	CAF-to-MET	score_caf_core	MET	1.012313341387682	0.47105788423153694	-0.09883820332817715	1	0	876	1393	1110
GSE217414	GSM6716964_19G0619	19G0619	CRLM	caf_to_spp1_cxcl12_lite	CAF-to-stromal/myeloid	score_caf_core	score_spp1_cxcl12_axis_desoverlap_2026	1.0218814760411894	0.1277445109780439	1.1706217257821265	1	0	876	1393	1110
GSE217414	GSM6716964_19G0619	19G0619	CRLM	caf_to_hla_drb5_lite	CAF-to-myeloid	score_caf_core	score_hla_drb5_macrophage_axis_desoverlap_2026	1.3298205977335644	0.001996007984031936	6.3594992248258	1	1	876	1393	1110
GSE217414	GSM6716964_19G0619	19G0619	CRLM	spp1_cxcl12_lite_to_myc	stromal/myeloid-to-MYC	score_spp1_cxcl12_axis_desoverlap_2026	MYC	1.4737629596084707	0.001996007984031936	5.977817829500458	1	1	867	1232	1280
GSE217414	GSM6716964_19G0619	19G0619	CRLM	spp1_cxcl12_lite_to_myc_glycolysis_lite	stromal/myeloid-to-tumor-metabolic	score_spp1_cxcl12_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	1.5589411584476165	0.001996007984031936	10.374452594711224	1	1	867	1232	1280
GSE217414	GSM6716964_19G0619	19G0619	CRLM	hla_drb5_lite_to_myc	myeloid-to-MYC	score_hla_drb5_macrophage_axis_desoverlap_2026	MYC	1.4738042193314878	0.00998003992015968	3.1006444588583912	1	1	1498	1674	207
GSE217414	GSM6716964_19G0619	19G0619	CRLM	hla_drb5_lite_to_myc_glycolysis_lite	myeloid-to-tumor-metabolic	score_hla_drb5_macrophage_axis_desoverlap_2026	score_myc_glycolysis_desoverlap_2026	1.561499508865821	0.001996007984031936	5.514840745013767	1	1	1498	1674	207
