accession	archive_or_file	name	time	size_bytes	type	url
GSE231559	Archive	GSE231559_RAW.tar	09/25/2023 20:27:52	725678080	TAR	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE231nnn/GSE231559/suppl/GSE231559_RAW.tar
GSE231559	File	GSM7290760_SC10_21N_barcodes.tsv.gz	04/20/2023 15:12:40	19381	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290760/suppl/GSM7290760_SC10_21N_barcodes.tsv.gz
GSE231559	File	GSM7290760_SC10_21N_features.tsv.gz	04/20/2023 15:12:40	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290760/suppl/GSM7290760_SC10_21N_features.tsv.gz
GSE231559	File	GSM7290760_SC10_21N_matrix.mtx.gz	04/20/2023 15:12:40	21891020	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290760/suppl/GSM7290760_SC10_21N_matrix.mtx.gz
GSE231559	File	GSM7290761_SC10_22T_barcodes.tsv.gz	04/20/2023 15:12:40	17764	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290761/suppl/GSM7290761_SC10_22T_barcodes.tsv.gz
GSE231559	File	GSM7290761_SC10_22T_features.tsv.gz	04/20/2023 15:12:40	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290761/suppl/GSM7290761_SC10_22T_features.tsv.gz
GSE231559	File	GSM7290761_SC10_22T_matrix.mtx.gz	04/20/2023 15:12:40	22880017	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290761/suppl/GSM7290761_SC10_22T_matrix.mtx.gz
GSE231559	File	GSM7290762_SC10_23N_barcodes.tsv.gz	04/20/2023 15:12:40	32113	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290762/suppl/GSM7290762_SC10_23N_barcodes.tsv.gz
GSE231559	File	GSM7290762_SC10_23N_features.tsv.gz	04/20/2023 15:12:40	304728	TSV	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290762/suppl/GSM7290762_SC10_23N_features.tsv.gz
GSE231559	File	GSM7290762_SC10_23N_matrix.mtx.gz	04/20/2023 15:12:40	17509556	MTX	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7290nnn/GSM7290762/suppl/GSM7290762_SC10_23N_matrix.mtx.gz
