cohort	sample_key	sample	sample_type	technology	anchor	target_reaction	target_description	pearson_r	spearman_r	n_spots
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	Biomass	biomass_synthesis	-0.0029520849969171033	0.008755930474469228	31773
CRC_VisiumHD	CRC_P5	P5	crc_visiumhd	VisiumHD	lactate_uptake_score_minus_EX_lac__L_e	ATPS4mi	atp_synthase	0.22346656410647656	0.3241131104376039	31773
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	PYRt2m	pyruvate_transport_to_mitochondria	-0.5316794547332222	-0.5464900257650216	9539
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	PDHm	pyruvate_dehydrogenase_mitochondrial	-0.20257745476354333	-0.27369564055797574	9539
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	LDH_L	lactate_dehydrogenase_l	-0.9999999999999996	-1.0	9539
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ASPTA	aspartate_transaminase_cytosol	0.34862595385359335	0.28750067314579025	9539
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ASPTAm	aspartate_transaminase_mitochondria	0.20946867805712052	0.2208034107926418	9539
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ASPGLUm	aspartate_glutamate_mitochondrial_transport	0.5788999811770207	0.6199016137134761	9539
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	ALATA_L	alanine_transaminase	0.7334368821937343	0.7586816736962437	9539
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	GLUN	glutaminase	0.15844480414431045	0.19417193662760293	9539
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	GLUNm	glutaminase_mitochondrial	0.2926735609882223	0.3542273914878697	9539
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	GLUDym	glutamate_dehydrogenase	0.38835669465189865	0.40394323991036213	9539
SC087	SC087_A02991A2_LM4	LM4	liver_metastasis	Stereo-seq	lactate_uptake_score_minus_EX_lac__L_e	AKGDm	alpha_ketoglutarate_dehydrogenase	0.14702876781397717	0.24076690810888862	9539
