sample_id	tissue	source	target	source_threshold	high_source_spots	neighbor_spots	background_spots	observed_neighbor_mean	observed_background_mean	observed_neighbor_vs_background_ratio	null_permutations	null_ratio_mean	null_ratio_sd	z_score	empirical_p_ge_observed
C3	CCT	HGF	MET	0.0	75	313	3029	1.3738050808626652	0.6254162350420795	2.1966252295484976	500	0.9994318355316686	0.06416502747964394	18.65803602120537	0.001996007984031936
C3	CCT	HGF	MYC	0.0	75	313	3029	3.0566777108069383	1.9320293231134247	1.5821073077095777	500	1.000739319245688	0.03958901580694568	14.685083137679111	0.001996007984031936
C3	CCT	HGF	glycolysis_score	0.0	75	313	3029	1.2884823303036788	0.7563191753577071	1.7036224550227501	500	0.9999052670703126	0.03822160736919202	18.41150167116359	0.001996007984031936
C4	CCT	caf_score	MET	1.5556440670178422	1011	1275	1730	0.4030900868562218	0.1803041577093519	2.235611712881286	500	1.0000856121327146	0.057399088514381434	21.525186770849302	0.001996007984031936
C4	CCT	caf_score	MYC	1.5556440670178422	1011	1275	1730	0.31726747713552544	0.25387308366438094	1.2497089985126253	500	1.0007606229303148	0.05169146913746424	4.816043725131448	0.001996007984031936
C4	CCT	caf_score	glycolysis_score	1.5556440670178422	1011	1275	1730	0.42800009558791247	0.23220831598015043	1.8431729879325194	500	0.9971955615364643	0.02930793820978994	28.86512931549266	0.001996007984031936
C4	CCT	HGF	MET	0.0	108	567	3341	0.2868499392772579	0.33277297835162606	0.8619988939551354	500	1.0050617871328864	0.07201619361616003	-1.9865378325917031	0.9780439121756487
C4	CCT	HGF	MYC	0.0	108	567	3341	0.302606065747431	0.3147929133415952	0.9612861437546412	500	1.001925392314435	0.06931255262572851	-0.5863187405495816	0.7285429141716567
C4	CCT	HGF	glycolysis_score	0.0	108	567	3341	0.3656086468582791	0.370968931130924	0.9855505843675272	500	0.9999067274349711	0.035255781001746866	-0.4071996892291963	0.6367265469061876
L1	LCT	caf_score	MET	0.9678002527269727	1193	1116	2363	0.39218504657745473	0.19327037019754265	2.029204198122042	500	0.9977709577574588	0.05378421764000634	19.177247259935445	0.001996007984031936
L1	LCT	caf_score	MYC	0.9678002527269727	1193	1116	2363	1.5511333434395467	1.144638687359534	1.3551292303580262	500	1.0004128946829642	0.025037871310682077	14.167192221477988	0.001996007984031936
L1	LCT	caf_score	glycolysis_score	0.9678002527269727	1193	1116	2363	0.5665264427985571	0.3488870642738916	1.6238103982949883	500	0.9990101486214271	0.026712968880849966	23.389397579146245	0.001996007984031936
L1	LCT	HGF	MET	0.0	531	1667	2474	0.3035613373519525	0.34730227117977974	0.8740551460281557	500	0.9996930995034353	0.04721658575914309	-2.660886030942017	0.9940119760479041
L1	LCT	HGF	MYC	0.0	531	1667	2474	1.2670670409565181	1.5709073725566367	0.806582910674344	500	1.0006329919802253	0.022170435336259942	-8.752650922849075	1.0
L1	LCT	HGF	glycolysis_score	0.0	531	1667	2474	0.4348059807285043	0.5364948695403565	0.8104569221715494	500	0.9998170459874239	0.02587676974207273	-7.317765150106667	1.0
L2	LCT	caf_score	MET	0.5198603854199589	1375	1305	2116	0.10699229495153942	0.05733190341747107	1.8661912229297286	500	1.0086315769485115	0.08582517294971116	9.991936124424708	0.001996007984031936
L2	LCT	caf_score	MYC	0.5198603854199589	1375	1305	2116	0.7522980165220895	0.44732451880129165	1.6817723708462127	500	1.0002238716883503	0.03383161060925857	20.145316373774577	0.001996007984031936
L2	LCT	caf_score	glycolysis_score	0.5198603854199589	1375	1305	2116	0.1933266232927772	0.10639000711751703	1.8171502054627282	500	1.000636963779343	0.03277675926442663	24.911347552580214	0.001996007984031936
L2	LCT	HGF	MET	0.0	78	426	4292	0.09710520139826832	0.11924156279367334	0.8143570003882948	500	0.9954855430404204	0.1259655723260534	-1.4379210073629205	0.936127744510978
L2	LCT	HGF	MYC	0.0	78	426	4292	0.5815118413980614	0.7247917178120252	0.8023157923955149	500	1.0009361695497676	0.04478944206417317	-4.434535640557311	1.0
L2	LCT	HGF	glycolysis_score	0.0	78	426	4292	0.16789415597864116	0.19251258334946267	0.8721204248444769	500	0.9979947935219504	0.04565646714665225	-2.7569888023345053	0.9960079840319361
