dataset	sample	effect_id	block_size	high_source_spots	neighbor_spots	background_spots	neighbor_mean	background_mean	observed_delta	observed_ratio	block_null_delta_mean	block_null_ratio_mean	block_empirical_p_delta_ge_observed	survives_block_delta_p_0_05	source_variant	target
GSE217414	19G0635	residual_hla_drb5_no_ptprc_to_pyruvate_mito_entry	12	523	1101	467	0.0025817976070245732	-0.007466770313552662	0.010048567920577236	-0.34577166547341714	-0.011516913261139638	-0.5154526913219482	0.039603960396039604	1	hla_drb5_no_ptprc	pyruvate_mito_entry
GSE217414	19G0635	residual_hla_drb5_no_ptprc_to_glutamate_transamination	12	523	1101	467	-0.0008220782366555403	-0.0074011341016917195	0.006579055865036179	0.1110746306390575	-0.0024976076461100823	-0.2766385831541068	0.2079207920792079	0	hla_drb5_no_ptprc	glutamate_transamination
GSE217414	19G081	residual_hla_drb5_original_to_pyruvate_mito_entry	12	723	1478	686	0.005657749439187816	-0.0039398955100644045	0.009597644949252221	-1.4360150985565934	0.020442765300157997	-0.15810278288445911	0.8613861386138614	0	hla_drb5_original	pyruvate_mito_entry
GSE217414	19G081	residual_hla_drb5_original_to_glutamate_transamination	12	723	1478	686	0.003211724599127355	-0.006833422311968576	0.010045146911095931	-0.4700023578964373	0.016019815133067605	-0.2567693932142878	0.8316831683168316	0	hla_drb5_original	glutamate_transamination
GSE217414	19G081	residual_hla_drb5_no_ptprc_to_pyruvate_mito_entry	12	723	1495	669	0.005254525320344793	-0.009003839492374294	0.014258364812719086	-0.583587182423127	0.019282804919284	-0.16750105695889417	0.7227722772277227	0	hla_drb5_no_ptprc	pyruvate_mito_entry
GSE217414	19G081	residual_hla_drb5_no_ptprc_to_glutamate_transamination	12	723	1495	669	0.0010600703190294894	-0.008739602765268065	0.009799673084297555	-0.12129502306927499	0.016822960177878148	-0.21658129110759097	0.9108910891089109	0	hla_drb5_no_ptprc	glutamate_transamination
GSE225857	L1	residual_hla_drb5_original_to_pyruvate_mito_entry	12	1169	1868	1635	0.003317486016476986	0.005608329532698673	-0.002290843516221687	0.5915283681414927	0.005599538858579367	-1.09699145803379	0.8613861386138614	0	hla_drb5_original	pyruvate_mito_entry
GSE225857	L1	residual_hla_drb5_original_to_glutamate_transamination	12	1169	1868	1635	0.0010350756725267894	0.010596144358770146	-0.009561068686243356	0.09768417996967782	0.0017940402481415926	-0.5535336420649957	0.9801980198019802	0	hla_drb5_original	glutamate_transamination
GSE225857	L1	residual_hla_drb5_no_ptprc_to_pyruvate_mito_entry	12	1169	2052	1451	0.00604216429625079	-0.0008677635144387364	0.006909927810689526	-6.9629158125630815	0.002010727687171884	-1.0162310809748891	0.22772277227722773	0	hla_drb5_no_ptprc	pyruvate_mito_entry
GSE225857	L1	residual_hla_drb5_no_ptprc_to_glutamate_transamination	12	1169	2052	1451	-0.00047066040303222405	0.011533674118773155	-0.012004334521805379	-0.04080749969050526	-0.002502411793413288	0.48368037033210654	0.9504950495049505	0	hla_drb5_no_ptprc	glutamate_transamination
GSE225857	L2	residual_hla_drb5_original_to_pyruvate_mito_entry	12	1200	2506	1090	-0.0017368626205506886	-0.0025014372724361978	0.0007645746518855092	0.6943458625525015	0.0024504231402148503	-0.09912930101412747	0.5841584158415841	0	hla_drb5_original	pyruvate_mito_entry
GSE225857	L2	residual_hla_drb5_original_to_glutamate_transamination	12	1200	2506	1090	0.0009349994482499043	0.0006830931938676421	0.0002519062543822622	1.3687728945972666	0.0011291082146995205	-0.5265181920581586	0.6039603960396039	0	hla_drb5_original	glutamate_transamination
GSE225857	L2	residual_hla_drb5_no_ptprc_to_pyruvate_mito_entry	12	1200	2529	1067	-0.0019207738074901574	-0.0011700042675158557	-0.0007507695399743017	1.6416810270002946	0.004095063283290169	0.4067914832437959	0.801980198019802	0	hla_drb5_no_ptprc	pyruvate_mito_entry
GSE225857	L2	residual_hla_drb5_no_ptprc_to_glutamate_transamination	12	1200	2529	1067	-5.242694870593533e-05	-2.4265537105355165e-05	-2.8161411600580168e-05	2.160551751989253	0.000994943101502158	0.2257348186095372	0.6138613861386139	0	hla_drb5_no_ptprc	glutamate_transamination
